driverId,best_race_lap_ms,best_qualifying_ms,diff_ms
3,68491,95828.0,-27337.0
3,68491,93129.0,-24638.0
3,68491,84681.0,-16190.0
3,68491,75440.0,-6949.0
3,68491,74673.0,-6182.0
3,68491,68634.0,-143.0
3,68491,92361.0,-23870.0
3,68491,82595.0,-14104.0
3,68491,107655.0,-39164.0
3,68491,83703.0,-15212.0
3,68491,105415.0,-36924.0
3,68491,92584.0,-24093.0
3,68491,97113.0,-28622.0
3,68491,116671.0,-48180.0
3,68491,79480.0,-10989.0
3,68491,71282.0,-2791.0
3,68491,100237.0,-31746.0
3,68491,84197.0,-15706.0
3,68491,89570.0,-21079.0
3,68491,95402.0,-26911.0
3,68491,95337.0,-26846.0
3,68491,82280.0,-13789.0
3,68491,73791.0,-5300.0
3,68491,72874.0,-4383.0
3,68491,102520.0,-34029.0
3,68491,66403.0,2088.0
3,68491,89606.0,-21115.0
3,68491,79965.0,-11474.0
3,68491,74363.0,-5872.0
3,68491,106744.0,-38253.0
3,68491,81613.0,-13122.0
3,68491,102584.0,-34093.0
3,68491,93264.0,-24773.0
3,68491,90647.0,-22156.0
3,68491,95215.0,-26724.0
3,68491,78958.0,-10467.0
3,68491,70838.0,-2347.0
3,68491,99058.0,-30567.0
4,67694,86188.0,-18494.0
4,67694,95140.0,-27446.0
4,67694,92345.0,-24651.0
4,67694,80804.0,-13110.0
4,67694,86522.0,-18828.0
4,67694,75827.0,-8133.0
4,67694,77415.0,-9721.0
4,67694,75483.0,-7789.0
4,67694,79992.0,-12298.0
4,67694,74943.0,-7249.0
4,67694,79816.0,-12122.0
4,67694,98268.0,-30574.0
4,67694,106491.0,-38797.0
4,67694,96297.0,-28603.0
4,67694,104971.0,-37277.0
4,67694,77871.0,-10177.0
4,67694,95461.0,-27767.0
4,67694,72090.0,-4396.0
4,67694,85326.0,-17632.0
4,67694,94057.0,-26363.0
4,67694,92214.0,-24520.0
4,67694,80797.0,-13103.0
4,67694,75431.0,-7737.0
4,67694,75522.0,-7828.0
4,67694,71926.0,-4232.0
4,67694,75084.0,-7390.0
4,67694,79152.0,-11458.0
4,67694,90983.0,-23289.0
4,67694,79661.0,-11967.0
4,67694,86841.0,-19147.0
4,67694,81356.0,-13662.0
4,67694,105442.0,-37748.0
4,67694,84806.0,-17112.0
4,67694,95809.0,-28115.0
4,67694,72356.0,-4662.0
4,67694,91215.0,-23521.0
4,67694,93997.0,-26303.0
4,67694,85729.0,-18035.0
4,67694,83536.0,-15842.0
4,67694,89816.0,-22122.0
4,67694,74648.0,-6954.0
4,67694,73622.0,-5928.0
4,67694,80253.0,-12559.0
4,67694,74726.0,-7032.0
4,67694,71877.0,-4183.0
4,67694,75706.0,-8012.0
4,67694,74746.0,-7052.0
4,67694,81364.0,-13670.0
4,67694,86917.0,-19223.0
4,67694,81526.0,-13832.0
4,67694,103951.0,-36257.0
4,67694,90357.0,-22663.0
4,67694,71148.0,-3454.0
4,67694,91056.0,-23362.0
4,67694,75561.0,-7867.0
4,67694,71380.0,-3686.0
4,67694,74412.0,-6718.0
4,67694,79905.0,-12211.0
4,67694,74904.0,-7210.0
4,67694,81141.0,-13447.0
4,67694,87050.0,-19356.0
4,67694,81319.0,-13625.0
4,67694,106760.0,-39066.0
4,67694,71988.0,-4294.0
4,67694,114667.0,-46973.0
4,67694,94080.0,-26386.0
4,67694,80645.0,-12951.0
4,67694,97044.0,-29350.0
4,67694,73991.0,-6297.0
4,67694,85605.0,-17911.0
4,67694,94706.0,-27012.0
4,67694,95803.0,-28109.0
4,67694,92860.0,-25166.0
4,67694,80509.0,-12815.0
4,67694,75200.0,-7506.0
4,67694,87473.0,-19779.0
4,67694,78761.0,-11067.0
4,67694,91302.0,-23608.0
4,67694,80826.0,-13132.0
4,67694,98717.0,-31023.0
4,67694,105136.0,-37442.0
4,67694,83497.0,-15803.0
4,67694,106767.0,-39073.0
4,67694,91401.0,-23707.0
4,67694,81422.0,-13728.0
4,67694,101667.0,-33973.0
4,67694,114172.0,-46478.0
4,67694,84111.0,-16417.0
4,67694,113044.0,-45350.0
4,67694,94913.0,-27219.0
4,67694,80937.0,-13243.0
4,67694,,
4,67694,87612.0,-19918.0
4,67694,75435.0,-7741.0
4,67694,98075.0,-30381.0
4,67694,90426.0,-22732.0
4,67694,73793.0,-6099.0
4,67694,79987.0,-12293.0
4,67694,107441.0,-39747.0
4,67694,81962.0,-14268.0
4,67694,105390.0,-37696.0
4,67694,91352.0,-23658.0
4,67694,95766.0,-28072.0
4,67694,75989.0,-8295.0
4,67694,99792.0,-32098.0
4,67694,88928.0,-21234.0
4,67694,74384.0,-6690.0
4,67694,83169.0,-15475.0
4,67694,78233.0,-10539.0
4,67694,80113.0,-12419.0
4,67694,75884.0,-8190.0
4,67694,76048.0,-8354.0
4,67694,92424.0,-24730.0
4,67694,76087.0,-8393.0
4,67694,82404.0,-14710.0
4,67694,76483.0,-8789.0
4,67694,81688.0,-13994.0
4,67694,100405.0,-32711.0
4,67694,72087.0,-4393.0
4,67694,93044.0,-25350.0
4,67694,85699.0,-18005.0
4,67694,,
4,67694,94130.0,-26436.0
4,67694,80895.0,-13201.0
4,67694,76422.0,-8728.0
4,67694,74408.0,-6714.0
4,67694,89313.0,-21619.0
4,67694,73308.0,-5614.0
4,67694,71185.0,-3491.0
4,67694,73698.0,-6004.0
4,67694,78811.0,-11117.0
4,67694,73874.0,-6180.0
4,67694,79996.0,-12302.0
4,67694,116686.0,-48992.0
4,67694,94917.0,-27223.0
4,67694,96663.0,-28969.0
4,67694,71454.0,-3760.0
